modelName,brand,rating,reviewsNumber,priceUsd,specialFeaturesNumber,screenSizeInches,lifetimeHours,mountingType,mapType,link,image
eTrex 22x,Garmin,4.3,1547,189.45,2,2.2,25,Handheld,Topographical,https://amzn.to/48RHYqn,https://m.media-amazon.com/images/I/81dYryjmJrL._AC_SL1500_.jpg
BackTrack Mini,Bushnell,3.5,90,86.61,2,2,24,Carabiner,Worldwide,https://amzn.to/4aRsyEq,https://m.media-amazon.com/images/I/81T31eP1xBL._AC_SL1500_.jpg
GPSMAP 64sx,Garmin,4.5,899,394.99,3,2.6,16,Handheld,Topographical,https://amzn.to/3HgwDof,https://m.media-amazon.com/images/I/514Jnv9ARlL._AC_SL1000_.jpg
eTrex SE,Garmin,4.1,130,149.99,1,2.16,168,Wrist Mount,North America,https://amzn.to/48OCMUf,https://m.media-amazon.com/images/I/61CJpzvVPeL._AC_SL1500_.jpg
GPS Navigation Tracker,Alomejor,2.8,31,41.28,0,1.8,null,Carabiner,null,https://amzn.to/3RXNoJS,https://m.media-amazon.com/images/I/71SQ3XQXh0L._AC_SL1500_.jpg
EM90,Walfront,3.5,21,78.67,1,2.4,48,Handheld,Satellite,https://amzn.to/48uhUSC,https://m.media-amazon.com/images/I/610dV6a3sGL._AC_SL1001_.jpg
Edge Explore 2,Garmin,4.3,162,298.99,1,3,16,Handheld/Bicycle ,North America,https://amzn.to/3RXduMU,https://m.media-amazon.com/images/I/61ivvVOpHvL._AC_SL1500_.jpg
GPSMAP 65s,Garmin,4.6,142,340.28,6,2.6,16,Handheld,North America,https://amzn.to/48tGjYx,https://m.media-amazon.com/images/I/71jrDWhMTGL._AC_SL1500_.jpg
GPSMAP 66i,Garmin,4.5,1095,419.99,10,3,16,Wrist Mount,Topographical,https://amzn.to/3RXOBAU,https://m.media-amazon.com/images/I/51kExPhAj9L._AC_SL1000_.jpg
eTrex 32x,Garmin,4.1,423,249.59,2,2.2,25,Handheld,Topographical,https://amzn.to/48TpUMV,https://m.media-amazon.com/images/I/81YcbP08OrL._AC_SL1500_.jpg
Montana 700i,Garmin,4.2,636,669.99,5,5,18,Wrist Mount,North America,https://amzn.to/3vxgKqP,https://m.media-amazon.com/images/I/71gGIwq6ALL._AC_SL1500_.jpg
ResQLink View,ACR,4.7,356,415.95,1,1,28,Clips,"Satellite, Worldwide",https://amzn.to/48OGSvB,https://m.media-amazon.com/images/I/61JiEbrnmPL._AC_SL1300_.jpg
